record_id,crop_name,layer_number,depth_start_cm,depth_end_cm,ph,ec_ds_m,organic_carbon_pct,available_n_kg_ha,available_p_kg_ha,available_k_kg_ha,sulphur_ppm,zinc_ppm,iron_ppm,soil_texture,n_status,p_status,k_status,n_requirement_kg_acre,p_requirement_kg_acre,k_requirement_kg_acre,rec_urea_kg_acre,rec_dap_kg_acre,rec_mop_kg_acre,rec_ssp_kg_acre,rec_zinc_sulphate_kg_acre,rec_gypsum_kg_acre,priority_nutrient,caution_flag,provenance_source,provenance_citation
SOIL_REC_00017,Wheat,2,15,30,6.16,1.01,0.82,333.7,18.3,207.2,7.4,0.56,5.71,Loam,Medium,Medium,Medium,45.0,25.0,16.0,97.8,0.0,26.7,156.2,10.0,0.0,Zinc,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00018,Wheat,3,30,60,7.44,0.8,0.18,77.7,16.3,86.2,29.4,1.58,3.17,Loam,Low,Medium,Low,62.5,25.0,20.0,114.6,54.3,33.3,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00019,Wheat,1,0,15,6.42,1.46,0.66,481.7,43.1,297.4,10.8,0.96,6.37,Loam,Medium,High,Medium,50.0,0.0,16.0,108.7,0.0,26.7,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00020,Wheat,2,15,30,5.81,1.91,0.36,244.2,31.7,82.1,22.3,1.23,3.08,Loam,Low,High,Low,62.5,0.0,20.0,135.9,0.0,33.3,0.0,0.0,0.0,Nitrogen,ACIDIC_PH;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00021,Wheat,3,30,60,7.9,2.28,0.13,107.9,14.3,70.2,9.1,0.94,10.81,Loam,Low,Medium,Low,62.5,25.0,20.0,114.6,54.3,40.0,0.0,0.0,0.0,Nitrogen,HIGH_EC_SALINITY;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00022,Wheat,1,0,15,6.96,2.44,0.67,145.3,48.0,391.0,31.1,1.68,10.56,Sandy loam,Low,High,High,62.5,0.0,0.0,135.9,0.0,0.0,0.0,0.0,0.0,Nitrogen,ELEVATED_SALINITY;HIGH_LEACHING_TEXTURE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00023,Wheat,2,15,30,6.05,1.46,0.26,240.4,6.3,169.8,31.6,0.62,9.95,Sandy loam,Low,Low,Medium,62.5,32.5,16.0,135.9,0.0,26.7,203.1,0.0,0.0,Nitrogen,HIGH_LEACHING_TEXTURE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00024,Wheat,3,30,60,7.0,1.3,0.53,308.9,14.7,174.3,8.3,0.67,11.7,Sandy loam,Medium,Medium,Medium,50.0,25.0,16.0,87.4,54.3,26.7,0.0,0.0,0.0,Nitrogen,HIGH_LEACHING_TEXTURE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00025,Wheat,1,0,15,7.93,0.36,0.45,145.1,26.0,421.0,18.9,0.29,7.32,Alluvial,Low,High,High,62.5,0.0,0.0,135.9,0.0,0.0,0.0,10.0,0.0,Zinc,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00026,Wheat,2,15,30,8.31,0.38,0.16,413.2,17.2,321.7,20.0,1.13,2.88,Alluvial,Medium,Medium,Medium,50.0,25.0,16.0,87.4,54.3,26.7,0.0,0.0,0.0,Nitrogen,ALKALINE_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00027,Wheat,3,30,60,5.77,1.91,0.34,139.1,8.5,165.6,12.8,0.62,3.74,Alluvial,Low,Low,Medium,62.5,32.5,16.0,135.9,0.0,26.7,203.1,0.0,0.0,Nitrogen,ACIDIC_PH;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00028,Wheat,1,0,15,6.49,1.02,0.86,156.3,25.2,449.4,31.9,0.32,4.52,Red soil,Low,High,High,57.5,0.0,0.0,125.0,0.0,0.0,0.0,10.0,0.0,Zinc,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00029,Wheat,2,15,30,6.38,2.63,0.74,419.7,16.1,110.1,27.3,1.33,8.31,Red soil,Medium,Medium,Low,50.0,25.0,20.0,87.4,54.3,40.0,0.0,0.0,0.0,Potassium,HIGH_EC_SALINITY;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00030,Wheat,3,30,60,8.76,1.9,0.08,264.3,9.3,164.4,30.3,0.41,3.6,Red soil,Low,Low,Medium,62.5,32.5,16.0,108.3,70.7,26.7,0.0,10.0,0.0,Zinc,ALKALINE_PH;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00031,Wheat,1,0,15,7.95,0.6,0.42,225.3,20.4,337.5,27.9,1.01,4.89,Sandy loam,Low,Medium,High,62.5,25.0,0.0,114.6,54.3,0.0,0.0,0.0,0.0,Nitrogen,HIGH_LEACHING_TEXTURE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00032,Wheat,2,15,30,8.5,0.33,0.56,401.0,5.9,157.6,7.7,1.77,4.04,Sandy loam,Medium,Low,Medium,50.0,32.5,16.0,81.1,70.7,26.7,0.0,0.0,0.0,Phosphorus,ALKALINE_PH;HIGH_LEACHING_TEXTURE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00033,Wheat,3,30,60,6.96,2.03,0.34,88.0,22.8,169.4,8.2,0.26,6.01,Sandy loam,Low,Medium,Medium,62.5,25.0,16.0,114.6,54.3,32.0,0.0,10.0,0.0,Zinc,HIGH_EC_SALINITY;ELEVATED_SALINITY;HIGH_LEACHING_TEXTURE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00034,Wheat,1,0,15,5.99,0.53,0.44,569.5,39.4,399.9,29.2,0.54,4.87,Alluvial,High,High,High,20.0,0.0,0.0,43.5,0.0,0.0,0.0,10.0,0.0,Zinc,ACIDIC_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00035,Wheat,2,15,30,5.84,2.23,0.74,242.4,24.1,109.2,30.0,1.58,11.77,Alluvial,Low,Medium,Low,62.5,25.0,20.0,135.9,0.0,40.0,156.2,0.0,0.0,Nitrogen,HIGH_EC_SALINITY;ACIDIC_PH;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00036,Wheat,3,30,60,8.18,2.49,0.09,244.1,10.0,212.5,26.5,1.58,10.2,Alluvial,Low,Medium,Medium,62.5,25.0,16.0,114.6,54.3,32.0,0.0,0.0,0.0,Nitrogen,HIGH_EC_SALINITY;ALKALINE_PH;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00037,Wheat,1,0,15,6.03,2.02,0.51,139.4,25.8,161.8,29.7,0.76,10.3,Clay loam,Low,High,Medium,62.5,0.0,16.0,135.9,0.0,32.0,0.0,0.0,0.0,Nitrogen,HIGH_EC_SALINITY;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00038,Wheat,2,15,30,8.38,0.78,0.58,239.4,13.3,86.2,25.7,0.76,7.34,Clay loam,Low,Medium,Low,62.5,25.0,20.0,114.6,54.3,33.3,0.0,0.0,0.0,Nitrogen,ALKALINE_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00039,Wheat,3,30,60,7.74,2.39,0.23,66.9,21.4,92.0,20.3,1.77,2.86,Clay loam,Low,Medium,Low,62.5,25.0,20.0,114.6,54.3,40.0,0.0,0.0,0.0,Nitrogen,HIGH_EC_SALINITY;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00040,Wheat,1,0,15,6.93,2.09,0.45,423.1,27.5,228.7,20.1,0.61,9.23,Alluvial,Medium,High,Medium,50.0,0.0,16.0,108.7,0.0,32.0,0.0,0.0,0.0,Nitrogen,HIGH_EC_SALINITY;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00041,Wheat,2,15,30,5.51,2.61,0.5,359.8,27.9,248.6,14.2,0.31,8.81,Alluvial,Medium,High,Medium,50.0,0.0,16.0,108.7,0.0,32.0,0.0,10.0,0.0,Zinc,HIGH_EC_SALINITY;ACIDIC_PH;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00042,Wheat,3,30,60,6.59,1.02,0.48,239.9,9.3,100.7,15.4,0.84,5.31,Alluvial,Low,Low,Low,62.5,32.5,20.0,108.3,70.7,33.3,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00043,Wheat,1,0,15,6.13,1.93,0.51,494.1,13.3,294.9,15.4,1.53,5.39,Loam,Medium,Medium,Medium,50.0,25.0,16.0,108.7,0.0,26.7,156.2,0.0,0.0,Nitrogen,ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00044,Wheat,2,15,30,6.19,2.24,0.54,210.8,18.4,249.9,18.3,1.47,11.62,Loam,Low,Medium,Medium,62.5,25.0,16.0,135.9,0.0,32.0,156.2,0.0,0.0,Nitrogen,HIGH_EC_SALINITY;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00045,Wheat,3,30,60,7.93,1.91,0.21,226.0,16.0,61.8,30.7,0.58,5.45,Loam,Low,Medium,Low,62.5,25.0,20.0,114.6,54.3,33.3,0.0,10.0,0.0,Zinc,ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00046,Wheat,1,0,15,5.99,0.32,1.08,425.6,38.3,253.9,28.8,1.12,9.32,Loam,Medium,High,Medium,45.0,0.0,16.0,97.8,0.0,26.7,0.0,0.0,0.0,Nitrogen,ACIDIC_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00047,Wheat,2,15,30,6.77,1.24,0.22,347.9,32.6,299.8,28.8,1.45,4.58,Loam,Medium,High,Medium,50.0,0.0,16.0,108.7,0.0,26.7,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00048,Wheat,3,30,60,8.15,2.01,0.3,199.4,22.3,66.8,7.7,0.94,7.55,Loam,Low,Medium,Low,62.5,25.0,20.0,114.6,54.3,40.0,0.0,0.0,0.0,Nitrogen,HIGH_EC_SALINITY;ALKALINE_PH;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00049,Wheat,1,0,15,7.46,2.67,1.0,426.3,36.2,271.7,27.3,1.08,11.02,Alluvial,Medium,High,Medium,45.0,0.0,16.0,97.8,0.0,32.0,0.0,0.0,0.0,Nitrogen,HIGH_EC_SALINITY;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00050,Wheat,2,15,30,7.95,1.43,0.3,182.7,24.6,274.3,18.6,1.2,5.11,Alluvial,Low,Medium,Medium,62.5,25.0,16.0,114.6,54.3,26.7,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00051,Wheat,3,30,60,5.76,0.94,0.2,139.9,14.3,69.9,10.5,1.31,9.21,Alluvial,Low,Medium,Low,62.5,25.0,20.0,135.9,0.0,33.3,156.2,0.0,0.0,Nitrogen,ACIDIC_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00052,Wheat,1,0,15,6.87,1.06,0.59,151.1,41.0,230.2,25.6,1.71,2.69,Sandy loam,Low,High,Medium,62.5,0.0,16.0,135.9,0.0,26.7,0.0,0.0,0.0,Nitrogen,HIGH_LEACHING_TEXTURE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00053,Wheat,2,15,30,8.41,1.7,0.45,443.5,13.9,172.8,29.0,1.54,7.61,Sandy loam,Medium,Medium,Medium,50.0,25.0,16.0,87.4,54.3,26.7,0.0,0.0,0.0,Nitrogen,ALKALINE_PH;HIGH_LEACHING_TEXTURE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00054,Wheat,3,30,60,7.92,2.28,0.5,182.1,8.7,132.4,14.9,1.27,10.08,Sandy loam,Low,Low,Low,62.5,32.5,20.0,108.3,70.7,40.0,0.0,0.0,0.0,Nitrogen,HIGH_EC_SALINITY;ELEVATED_SALINITY;HIGH_LEACHING_TEXTURE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00055,Wheat,1,0,15,6.04,1.42,0.27,431.1,7.1,231.8,19.8,0.24,8.61,Red soil,Medium,Low,Medium,50.0,32.5,16.0,108.7,0.0,26.7,203.1,10.0,0.0,Phosphorus,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00056,Wheat,2,15,30,5.95,1.4,0.15,232.2,11.2,155.7,25.3,0.81,9.64,Red soil,Low,Medium,Medium,62.5,25.0,16.0,135.9,0.0,26.7,156.2,0.0,0.0,Nitrogen,ACIDIC_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00057,Wheat,3,30,60,8.25,0.86,0.11,64.8,14.3,225.0,13.8,1.24,9.92,Red soil,Low,Medium,Medium,62.5,25.0,16.0,114.6,54.3,26.7,0.0,0.0,0.0,Nitrogen,ALKALINE_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00058,Wheat,1,0,15,5.63,0.28,0.38,539.6,32.1,175.9,17.3,0.38,11.5,Red soil,Medium,High,Medium,50.0,0.0,16.0,108.7,0.0,26.7,0.0,10.0,0.0,Zinc,ACIDIC_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00059,Wheat,2,15,30,7.03,0.87,0.38,317.2,34.9,261.5,25.8,0.46,5.45,Red soil,Medium,High,Medium,50.0,0.0,16.0,108.7,0.0,26.7,0.0,10.0,0.0,Zinc,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00060,Wheat,3,30,60,7.41,2.62,0.35,287.0,10.9,214.5,9.6,1.15,10.39,Red soil,Medium,Medium,Medium,50.0,25.0,16.0,87.4,54.3,32.0,0.0,0.0,0.0,Nitrogen,HIGH_EC_SALINITY;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00061,Wheat,1,0,15,5.84,2.21,0.96,420.2,11.1,444.2,25.9,0.76,6.57,Loam,Medium,Medium,High,45.0,25.0,0.0,97.8,0.0,0.0,156.2,0.0,0.0,Nitrogen,ACIDIC_PH;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00062,Wheat,2,15,30,6.72,1.52,0.36,408.6,30.4,96.0,30.9,1.22,10.37,Loam,Medium,High,Low,50.0,0.0,20.0,108.7,0.0,33.3,0.0,0.0,0.0,Potassium,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00063,Wheat,3,30,60,7.83,1.33,0.42,301.4,8.7,190.5,19.1,0.97,6.64,Loam,Medium,Low,Medium,50.0,32.5,16.0,81.1,70.7,26.7,0.0,0.0,0.0,Phosphorus,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00064,Wheat,1,0,15,7.46,1.04,0.38,587.3,17.7,252.3,25.0,1.11,8.85,Red soil,High,Medium,Medium,20.0,25.0,16.0,22.2,54.3,26.7,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00065,Wheat,2,15,30,6.61,1.49,0.34,272.8,15.7,137.3,11.8,1.15,10.86,Red soil,Low,Medium,Low,62.5,25.0,20.0,114.6,54.3,33.3,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
