weather_id,region_id,date,temp_min_c,temp_max_c,rainfall_mm,humidity_pct,wind_speed_kmph,forecast_type,source,data_origin
WX000064,REG001,2026-08-03,15.0,30.5,2.2,86.7,12.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000065,REG001,2026-08-04,19.4,29.4,13.2,80.9,7.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000066,REG001,2026-08-05,18.6,28.9,6.0,72.3,9.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000067,REG001,2026-08-06,17.5,29.3,11.2,81.2,11.7,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000068,REG001,2026-08-07,18.7,28.3,8.9,84.0,14.0,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000069,REG001,2026-08-08,15.5,27.5,5.8,86.6,11.8,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000070,REG001,2026-08-09,16.1,28.7,1.8,84.6,9.5,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000071,REG001,2026-08-10,15.3,31.1,14.9,81.3,11.1,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000072,REG001,2026-08-11,17.7,30.8,5.9,91.4,9.7,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000073,REG001,2026-08-12,17.7,28.3,3.4,83.7,12.1,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000074,REG001,2026-08-13,16.8,33.2,0.5,82.4,4.6,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000075,REG001,2026-08-14,16.6,30.7,3.1,86.3,4.1,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000076,REG001,2026-08-15,18.2,27.8,2.6,79.7,10.1,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000077,REG001,2026-08-16,18.4,28.5,2.7,79.3,13.4,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000078,REG001,2026-08-17,19.8,29.6,0.7,77.9,8.1,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000079,REG001,2026-08-18,17.0,31.2,2.3,72.3,9.1,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000080,REG001,2026-08-19,16.0,29.9,2.4,73.2,13.0,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000081,REG001,2026-08-20,18.5,29.2,16.9,73.3,10.6,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000082,REG001,2026-08-21,18.7,26.8,16.6,81.2,8.6,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000083,REG001,2026-08-22,15.7,29.3,17.8,79.6,12.1,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000084,REG001,2026-08-23,17.9,26.2,2.5,75.4,8.8,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000085,REG001,2026-08-24,19.7,29.5,2.1,72.3,8.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000086,REG001,2026-08-25,16.6,30.8,3.2,84.0,12.3,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000087,REG001,2026-08-26,17.9,30.2,1.3,78.9,15.0,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000088,REG001,2026-08-27,20.0,27.6,1.7,80.7,16.4,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000089,REG001,2026-08-28,17.9,29.2,2.5,82.3,12.6,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000090,REG001,2026-08-29,16.5,29.3,13.5,75.6,8.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000091,REG002,2026-06-01,18.4,29.9,8.0,76.9,8.0,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000092,REG002,2026-06-02,17.3,32.5,3.4,84.8,10.6,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000093,REG002,2026-06-03,17.0,29.2,6.7,75.5,6.1,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000094,REG002,2026-06-04,17.7,28.8,19.9,86.3,10.2,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000095,REG002,2026-06-05,16.2,31.5,4.7,75.3,9.2,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000096,REG002,2026-06-06,18.3,29.4,12.0,76.6,10.1,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000097,REG002,2026-06-07,19.0,30.0,4.8,80.5,5.0,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000098,REG002,2026-06-08,17.1,29.3,17.5,89.4,10.7,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000099,REG002,2026-06-09,17.5,28.6,3.2,82.6,8.1,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000100,REG002,2026-06-10,19.4,30.5,4.8,87.7,9.4,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000101,REG002,2026-06-11,15.7,30.8,0.6,80.0,4.2,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000102,REG002,2026-06-12,17.1,30.4,12.8,70.0,10.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000103,REG002,2026-06-13,17.1,28.2,5.6,85.3,12.4,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000104,REG002,2026-06-14,15.1,29.5,4.7,82.5,10.0,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000105,REG002,2026-06-15,19.8,32.8,1.2,89.1,11.6,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000106,REG002,2026-06-16,17.2,28.0,4.9,87.8,4.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000107,REG002,2026-06-17,17.9,29.1,12.7,84.8,11.1,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000108,REG002,2026-06-18,18.0,28.9,0.9,85.3,3.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000109,REG002,2026-06-19,18.3,29.4,3.9,79.1,9.1,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000110,REG002,2026-06-20,17.1,29.1,5.1,75.3,8.5,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000111,REG002,2026-06-21,19.5,30.0,3.3,86.3,12.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000112,REG002,2026-06-22,17.9,30.5,1.2,85.2,4.8,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000113,REG002,2026-06-23,18.2,28.7,3.8,72.3,6.6,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000114,REG002,2026-06-24,18.2,32.7,9.2,79.9,8.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000115,REG002,2026-06-25,16.6,28.1,6.0,76.2,13.0,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000116,REG002,2026-06-26,17.6,31.0,10.1,73.5,9.5,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000117,REG002,2026-06-27,18.6,28.7,6.4,79.6,9.8,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000118,REG002,2026-06-28,18.0,27.9,0.9,88.8,7.8,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000119,REG002,2026-06-29,16.4,27.7,6.8,84.4,9.5,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000120,REG002,2026-06-30,17.9,31.5,2.0,84.2,8.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000121,REG002,2026-07-01,17.5,31.7,13.4,85.4,13.5,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000122,REG002,2026-07-02,16.5,31.8,6.6,83.0,15.4,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000123,REG002,2026-07-03,16.6,28.3,13.4,89.1,14.6,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000124,REG002,2026-07-04,16.0,31.0,9.8,83.1,12.3,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000125,REG002,2026-07-05,19.2,31.5,7.6,85.5,11.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000126,REG002,2026-07-06,16.7,30.0,9.3,79.0,9.8,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000127,REG002,2026-07-07,15.6,30.0,8.3,79.1,9.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000128,REG002,2026-07-08,17.7,28.8,4.4,89.0,9.0,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000129,REG002,2026-07-09,16.8,30.5,27.7,81.2,12.3,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000130,REG002,2026-07-10,15.0,31.9,3.7,80.8,13.7,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000131,REG002,2026-07-11,20.0,28.2,6.9,77.6,11.6,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000132,REG002,2026-07-12,16.3,27.9,7.8,88.6,12.3,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000133,REG002,2026-07-13,19.7,28.2,3.3,75.8,10.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000134,REG002,2026-07-14,19.0,29.6,4.0,72.6,13.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000135,REG002,2026-07-15,18.7,27.5,1.6,79.1,12.5,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000136,REG002,2026-07-16,20.1,30.5,11.4,88.8,10.7,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000137,REG002,2026-07-17,17.1,33.7,10.5,73.4,11.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000138,REG002,2026-07-18,17.0,28.8,13.2,78.7,8.5,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000139,REG002,2026-07-19,17.5,26.7,3.0,69.4,9.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000140,REG002,2026-07-20,18.4,26.8,8.3,77.2,12.8,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000141,REG002,2026-07-21,15.6,29.5,4.5,73.1,7.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000142,REG002,2026-07-22,18.6,30.2,4.6,78.3,13.5,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000143,REG002,2026-07-23,13.8,31.7,5.8,80.7,14.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000144,REG002,2026-07-24,17.5,27.9,7.2,85.8,5.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000145,REG002,2026-07-25,16.0,27.3,1.0,78.3,4.5,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000146,REG002,2026-07-26,18.9,29.1,18.8,69.7,11.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000147,REG002,2026-07-27,18.8,31.9,19.8,81.1,7.6,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000148,REG002,2026-07-28,16.8,29.6,5.6,86.0,9.3,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000149,REG002,2026-07-29,12.5,30.7,7.0,76.4,15.5,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000150,REG002,2026-07-30,18.3,31.3,8.4,81.3,10.3,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000151,REG002,2026-07-31,15.8,30.7,11.1,79.4,9.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000152,REG002,2026-08-01,16.0,31.2,4.8,80.7,7.3,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000153,REG002,2026-08-02,17.9,27.9,4.7,83.1,13.7,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000154,REG002,2026-08-03,18.1,29.5,12.3,74.9,6.4,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000155,REG002,2026-08-04,18.2,31.5,15.1,79.7,7.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000156,REG002,2026-08-05,16.6,30.8,12.3,86.8,11.4,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000157,REG002,2026-08-06,16.2,29.1,7.5,79.4,10.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000158,REG002,2026-08-07,17.9,28.5,5.4,74.9,5.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000159,REG002,2026-08-08,15.1,28.2,1.1,84.4,8.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000160,REG002,2026-08-09,16.5,29.9,3.8,91.9,8.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000161,REG002,2026-08-10,15.6,30.8,1.6,84.7,17.1,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000162,REG002,2026-08-11,21.0,32.5,12.5,90.9,10.7,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000163,REG002,2026-08-12,15.0,30.8,2.2,83.0,11.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000164,REG002,2026-08-13,17.9,27.0,6.8,76.3,6.7,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000165,REG002,2026-08-14,17.3,28.0,6.8,86.1,10.8,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000166,REG002,2026-08-15,16.0,30.1,6.3,76.3,10.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000167,REG002,2026-08-16,19.3,31.4,3.6,87.6,20.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000168,REG002,2026-08-17,17.6,29.2,2.9,83.1,11.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000169,REG002,2026-08-18,17.2,30.2,7.5,76.7,13.0,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000170,REG002,2026-08-19,16.8,31.1,9.9,84.2,11.1,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000171,REG002,2026-08-20,15.7,32.1,13.3,81.9,5.3,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000172,REG002,2026-08-21,16.8,30.4,8.0,77.7,8.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000173,REG002,2026-08-22,16.7,28.6,21.6,70.5,8.7,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000174,REG002,2026-08-23,15.1,32.4,5.1,83.0,12.4,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000175,REG002,2026-08-24,20.1,29.7,10.0,77.5,7.6,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000176,REG002,2026-08-25,19.1,30.1,4.9,71.2,11.8,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000177,REG002,2026-08-26,14.9,28.7,7.0,83.0,10.7,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000178,REG002,2026-08-27,17.8,28.9,7.7,84.2,13.6,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000179,REG002,2026-08-28,19.2,30.0,9.5,81.8,9.7,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000180,REG002,2026-08-29,16.3,26.9,4.8,75.5,9.0,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000181,REG003,2026-06-01,15.9,27.1,17.6,69.8,10.5,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000182,REG003,2026-06-02,18.5,33.0,5.8,86.7,4.6,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000183,REG003,2026-06-03,17.7,30.6,8.6,76.8,12.3,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000184,REG003,2026-06-04,17.4,29.3,10.3,71.7,12.7,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000185,REG003,2026-06-05,18.1,29.3,11.4,69.1,7.3,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000186,REG003,2026-06-06,18.4,31.3,1.3,67.6,7.7,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000187,REG003,2026-06-07,17.2,32.4,9.3,74.6,13.8,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000188,REG003,2026-06-08,16.7,29.7,19.2,85.5,5.9,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000189,REG003,2026-06-09,18.7,30.7,11.3,85.5,10.0,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000190,REG003,2026-06-10,17.4,28.1,14.0,85.8,3.2,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000191,REG003,2026-06-11,16.5,31.2,3.7,77.3,9.7,observed,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000192,REG003,2026-06-12,18.6,30.0,1.3,81.7,7.7,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000193,REG003,2026-06-13,19.9,28.1,3.5,75.0,7.0,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000194,REG003,2026-06-14,18.2,28.3,5.8,75.2,10.5,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000195,REG003,2026-06-15,17.7,28.2,4.4,75.5,9.0,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000196,REG003,2026-06-16,17.5,28.8,0.7,83.4,13.0,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000197,REG003,2026-06-17,18.0,31.7,8.8,74.4,8.4,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000198,REG003,2026-06-18,18.9,27.1,2.2,82.1,11.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000199,REG003,2026-06-19,19.2,28.1,7.6,84.4,7.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000200,REG003,2026-06-20,20.3,33.3,11.9,80.5,16.4,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
WX000201,REG003,2026-06-21,15.5,31.2,3.9,82.3,9.3,forecast,Open-Meteo / NASA POWER / IMD (synthetic),DEMO
